,x,y,facility_id,facility_name,facility_type,primary_commodity,commodities_products,facility_equipment,Country,country,capacity_tpa,commodity,value_tonnes,material,material_name,material_category,material_category_2,value_tonnes_material,input,output,input_value_tonnes,output_value_tonnes
1297,-112.6482245,31.0252067,COM00906.00,Noche Buena,Mine,Gold,"Gold, Silver","Open pit, Heap leach, Merrill-Crowe",Mexico,MX,,Me.Ag,2.892,O.bulk,Bulk metal ore,mineral,metal ore,18196000.0,,,,
1298,-112.6482245,31.0252067,COM00906.00,Noche Buena,Mine,Gold,"Gold, Silver","Open pit, Heap leach, Merrill-Crowe",Mexico,MX,,Me.Au,5.159,O.bulk,Bulk metal ore,mineral,metal ore,18196000.0,,,,
1299,29.7916243017908,-25.7411049005325,COM00907.00,Nooitgedacht,Mine,Coal,Thermal coal,,South Africa,ZA,,,794400.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1300,8.51006891322764,53.5067838389055,COM00908.00,Nordenhamer Zinkhuette,Smelter,Processing,Refined Nickel,,Germany,DE,,,,,,,,,,Refined Zinc,,154000.0
1301,,,COM00909.00,Nornickel Kola Peninsula,Mine,Nickel,"Copper, Nickel, PGM","Underground, Open pit",Russian Federation,RU,,Me.Cu,17936.964,O.bulk,Bulk metal ore,mineral,metal ore,8336000.0,,,,
1302,,,COM00909.00,Nornickel Kola Peninsula,Mine,Nickel,"Copper, Nickel, PGM","Underground, Open pit",Russian Federation,RU,,Me.Ni,40827.227,O.bulk,Bulk metal ore,mineral,metal ore,8336000.0,,,,
1303,,,COM00909.00,Nornickel Kola Peninsula,Mine,Nickel,"Copper, Nickel, PGM","Underground, Open pit",Russian Federation,RU,,Me.pgm,0.815,O.bulk,Bulk metal ore,mineral,metal ore,8336000.0,,,,
1304,,,COM00910.00,Nornickel Taimyr Peninsula,Mine,Nickel,"Copper, Nickel, PGM","Underground, Open pit",Russian Federation,RU,,Me.Cu,402043.118,O.bulk,Bulk metal ore,mineral,metal ore,18400000.0,,,,
1305,,,COM00910.00,Nornickel Taimyr Peninsula,Mine,Nickel,"Copper, Nickel, PGM","Underground, Open pit",Russian Federation,RU,,Me.Ni,198799.12,O.bulk,Bulk metal ore,mineral,metal ore,18400000.0,,,,
1306,,,COM00910.00,Nornickel Taimyr Peninsula,Mine,Nickel,"Copper, Nickel, PGM","Underground, Open pit",Russian Federation,RU,,Me.pgm,135.478,O.bulk,Bulk metal ore,mineral,metal ore,18400000.0,,,,
1307,-69.3200725074571,-27.7686263275311,COM00911.00,Norte Abierto,Mine,Other mine,Gold,,Chile,CL,,,,,,,,,,,,
1308,-105.2832922,43.5306681,COM00912.00,North Antelope Rochelle,Mine,Coal,Thermal coal,Surface,United States of America,US,,,107049600.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1309,30.0143346345046,-25.692598011254,COM00913.00,North Block Complex,Mine,Coal,Thermal coal,Open pit,South Africa,ZA,,,3929000.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1310,,,COM00914.00,North Eastern Coalfields,Mine,Coal,Thermal coal,"Open pit, Underground",India,IN,,,1112566.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1311,147.9559571,-21.6694564,COM00915.00,North Goonyella,Mine,Coal,Coking coal,Underground,Australia,AU,,,3719520.0,F.coc,Coking Coal,ff_mineral,coal & peat,,,,,
1312,34.5106118,-1.4670389,COM00916.00,North Mara,Mine,Gold,Gold,"Open Pit, Underground",Tanzania,TZ,,Me.Au,11.77,O.Au,Gold dominant ore,mineral,metal ore,3801000.0,,,,
1313,60.0228024762838,60.2842619945937,COM00917.00,North Urals,Mine,Aluminium,Bauxite,Underground,Russian Federation,RU,,,,,,,,,,,,
1314,,,COM00918.00,Northern Coalfields Limited,Mine,Coal,Thermal coal,"Open pit, Underground",India,IN,,,108053000.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1315,,,COM00919.00,Northern GOK,Mine,Iron,Iron,Open pit,Ukraine,UA,,Me.Fe,9372000.0,Con.Fe,Iron ore concentrate,other_product,ore concentrate,15000000.0,,,,
1316,,,COM00920.00,Northern Star Kalgoorlie Operations,Mine,Gold,Gold,,Australia,AU,,Me.Au,10.404,O.Au,Gold dominant ore,mineral,metal ore,3398461.0,,,,
1317,0.321090996639382,51.4534948953963,COM00921.00,Northfleet,Smelter,Processing,"Refined Lead, Refined Silver",,United Kingdom,GB,,,,,,,,,,Refined Lead,,252000.0
1318,0.321090996639382,51.4534948953963,COM00921.00,Northfleet,Smelter,Processing,"Refined Lead, Refined Silver",,United Kingdom,GB,,,,,,,,,,Refined Silver,,273.0
1319,148.0636621,-32.9378062,COM00922.00,Northparkes,Mine,Copper,"Copper, Gold",,Australia,AU,,Me.Au,2.693,O.bulk,Bulk metal ore,mineral,metal ore,,,,,
1320,148.0636621,-32.9378062,COM00922.00,Northparkes,Mine,Copper,"Copper, Gold",,Australia,AU,,Me.Cu,83300.0,O.bulk,Bulk metal ore,mineral,metal ore,,,,,
1321,-91.8532069453796,47.6874384302088,COM00923.00,Northshore,Mine,Iron,"Iron, Direct Reduction Iron Pellets",Open pit,United States of America,US,,,,,,,,,,,,
