Plant ID,Plant name (English),Country,Coordinate accuracy,Status,Start date,Plant age (years),Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Main production process,country,y,x
SIQ00002,State Company for Iron & Steel Basra plant,Iraq,exact,operating,2022,1,500,,500,,>0,,>0,,,,,semi-finished,electric,IQ,30.2471634, 47.832418
SIQ00003,Van Steel Kurdistan plant,Iraq,approximate,operating,2022,1,750,,750,,unknown,,,,unknown,,unknown,unknown,electric,IQ,36.091030, 43.965422
SIQ00001,Mass Iron and Steel Industry Co Sulaimaniya plant,Iraq,exact,operating,2015,8,1250,,1250,,unknown,,unknown,,unknown,,unknown,semi-finished; finished rolled,electric,IQ,35.660125, 45.039062
SKW00001,United Steel Industrial Kuwait Steel Sharq plant,Kuwait,exact,operating,1996,27,1200,,1200,,,,,,,,,crude; semi-finished; finished rolled,electric,KW,28.989306, 48.128118
SOM00004,Sohar Steel plant,Oman,exact,operating,unknown,unknown,650,,650,,,,,,,,,semi-finished; finished rolled,electric,OM,24.499869, 56.599111
SOM00001,Jindal Shadeed Iron & Steel Sohar plant,Oman,exact,operating,2010,13,2400,,2400,,1800,,1800,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),OM,24.502551, 56.600739
SOM00002,Moon Iron & Steel Company Sohar plant,Oman,exact,operating,2020,3,1200,,1200,,,,,,,,,semi-finished; finished rolled,electric,OM,24.409437, 56.520134
SQA00001,Industries Qatar Steel Mesaieed plant,Qatar,exact,operating,1978,45,2575,,2575,,2493,,2493,,,,,crude; semi-finished; finished rolled,integrated (DRI),QA,24.952688, 51.584777
SSA00001,SABIC Hadeed Al Jubail steel plant,Saudi Arabia,exact,operating,1979,44,6000,,6000,,5300,,5300,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),SA,27.018411, 49.576356
SSA00004,Al Ittefaq National Steel Dammam plant,Saudi Arabia,exact,operating,2004,19,1000,,1000,,>0,,>0,,unknown,,2500,semi-finished,integrated (DRI),SA,26.244786, 49.969064
SSA00003,Al Ittefaq Arab Steel Dammam plant,Saudi Arabia,exact,operating,1989,34,2600,,2600,,1000,,1000,,,,2500,semi-finished; finished rolled,integrated (DRI),SA,26.277917, 49.949177
SSA00002,Solb Steel Jizan plant,Saudi Arabia,exact,operating,2009,14,1200,,1200,,,,,,,,,semi-finished; finished rolled,electric,SA,17.298475, 42.352338
SSA00005,Rajhi Al Assemah Steel Jeddah plant,Saudi Arabia,exact,operating,1984,39,1180,1180,,,>0,>0,,,unknown,unknown,unknown,semi-finished,integrated (BF),SA,21.290402, 39.183444
SSA00006,Al Yamamah Steel Industries Yanbu plant,Saudi Arabia,exact,operating,2008,15,700,,700,,,,,,,,,semi-finished; finished rolled,electric,SA,23.929542, 38.336103
SSY00001,Hadeed Metal Manufacturing Co Damascus steel plant,Syria,exact,operating,2012,11,1400,,1400,,,,,,,,,semi-finished; finished rolled,electric,SY,33.626258, 36.574968
SSY00002,Hmisho Steel Hassia plant,Syria,exact,operating,2010,13,800,,800,,300,300,,,,,,semi-finished,integrated (BF),SY,34.364258, 36.803848
SAE00001,GHC Emirates Steel Industries Abu Dhabi plant,United Arab Emirates,exact,operating,1998,25,3500,,3500,,2000,,2000,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),AE,24.322033, 54.467987
SCA00002,ArcelorMittal Dofasco steel plant,Canada,exact,operating,1912,111,4050,2700,1350,,3024,3024,,,,>0,,finished rolled,integrated (BF),CA,43.269255, -79.804858
SCA00007,Ivaco Rolling Mills steel plant,Canada,exact,operating,1971,52,650,unknown,650,,,,,,,,,semi-finished; finished rolled,"electric, oxygen",CA,45.613941, -74.704608
SCA00005,Stelco Lake Erie steel plant,Canada,exact,operating,1980,43,2500,2500,,,2400,2400,,,unknown,650,unknown,finished rolled,integrated (BF),CA,42.805448, -80.095313
SCA00003,Algoma Steel plant,Canada,exact,operating,1901,122,2800,2800,,,2690,2690,,,unknown,>0,unknown,semi-finished; finished rolled,integrated (BF),CA,46.518984, -84.374068
SCA00006,Gerdau Whitby Steel Mill,Canada,exact,operating,1964,59,949,,949,,,,,,,,,semi-finished; finished rolled,electric,CA,43.856461, -78.908997
SCA00001,ArcelorMittal Montreal steel plant,Canada,exact,operating,1914,109,2400,,2400,,1000,,1000,,,,,semi-finished; finished rolled,integrated (DRI),CA,45.835148, -73.254957
SCA00008,Rio Tinto Fer et Titane steel plant,Canada,exact,operating,1950,73,600,600,,,,,,,unknown,unknown,unknown,semi-finished; finished rolled,oxygen,CA,46.044367, -73.138474
SCA00004,Evraz Regina Steel plant,Canada,exact,operating,1961,62,1100,,1100,,,,,,,,,semi-finished; finished rolled,electric,CA,50.514990, -104.630589
SMX00001,Altos Hornos De Mexico S.A. (AHMSA) steel plant,Mexico,exact,operating,1944,79,5500,4300,1200,,4380,4380,,,2263,821.25,4200,semi-finished; finished rolled,integrated (BF),MX,26.876889, -101.416612
SMX00007-1,Deacero Saltillo-Ramos Arizpe steel plant,Mexico,exact,operating,2013,10,1500,,1500,,,,,,,,,semi-finished; finished rolled,electric,MX,25.511162, -100.961848
SMX00007,Deacero Saltillo-Ramos Arizpe steel plant,Mexico,exact,operating,1986,37,700,,700,,,,,,,,,semi-finished; finished rolled,electric,MX,25.511162, -100.961848
