Plant ID,Plant name (English),Country,Coordinate accuracy,Status,Start date,Plant age (years),Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Main production process,country,y,x
SDZ00002,Sider El Hadjar Annaba steel plant,Algeria,exact,operating,1969,54,1800,,1800,,1200,1200,,,,,,semi-finished; finished rolled,integrated (BF),DZ,36.795924, 7.707633
SDZ00001,Algerian Qatari Steel Jijel plant,Algeria,exact,operating,2017,6,2200,,2200,,2500,,2500,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),DZ,36.753961, 6.244420
SDZ00003,Tosyali Algerie Oran steel plant,Algeria,exact,operating,2008,15,3700,,3700,,2500,,2500,,,,4000,semi-finished; finished rolled,integrated (DRI),DZ,35.770912, -0.263031
SAO00001,Aceria Angola Bengo steel plant,Angola,exact,operating,2015,8,500,,500,,,,,,,,,semi-finished; finished rolled,electric,AO,-8.582400, 13.405271
SEG00004,Al-Ezz Dekheila Steel Alexandria plant,Egypt,exact,operating,1986,37,3200,,3200,,3100,,3100,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),EG,31.123467, 29.809870
SEG00009,Egyptian Steel Beni Suef plant,Egypt,approximate,operating,2016,7,600,,600,,,,,,,,,semi-finished; finished rolled,electric,EG,29.152604, 31.247401
SEG00001,Egyptian American Steel Rolling Company Sadat City plant,Egypt,exact,operating,1998,25,1200,,1200,,,,,,,,,crude; semi-finished; finished rolled,electric,EG,30.389174, 30.571894
SEG00003,Egyptian Sponge Iron and Steel Company Sadat City plant,Egypt,exact,operating,2008,15,3000,,3000,,2000,,2000,,unknown,,unknown,crude; semi-finished; finished rolled,integrated (DRI),EG,30.393079, 30.587730
SEG00006,Ezz Steel Rebar Sadat City plant,Egypt,exact,operating,1994,29,1000,,1000,,,,,,,,,finished rolled,electric,EG,30.382179, 30.563029
SEG00005,Ezz Flat Steel Ain Sokhna plant,Egypt,exact,operating,1998,25,2300,,2300,,1900,,1900,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),EG,29.692045, 32.322117
SEG00007,Suez Steel Solb Misr Attaka plant,Egypt,exact,operating,2000,23,2100,,2100,,2100,,2100,,,,,semi-finished; finished rolled,integrated (DRI),EG,29.923176, 32.466587
SEG00008,Egyptian Steel Ain Sokhna plant,Egypt,approximate,operating,2018,5,600,,600,,,,,,,,,semi-finished; finished rolled,electric,EG,29.872757, 32.469342
SGH00001,Sentuo Steel Tema plant,Ghana,exact,operating,2015,8,800,unknown,unknown,,unknown,unknown,,,unknown,unknown,unknown,semi-finished; finished rolled,unknown,GH,5.709490, -0.023595
SKE00002,Devki Steel Mills Kwale plant,Kenya,approximate,operating,2022,1,1000,,1000,,500,,500,,unknown,,unknown,unknown,integrated (DRI),KE,-3.777340, 39.279963
SLY00001,Libyan Iron and Steel Misrata plant,Libya,exact,operating,1979,44,1750,,1750,,1750,,1750,,unknown,,unknown,crude; semi-finished; finished rolled,integrated (DRI),LY,32.335185, 15.215053
SMA00002,ArcelorMittal Sonasid Casablanca steel plant,Morocco,exact,operating,2002,21,800,,800,,,,,,,,,semi-finished; finished rolled,electric,MA,33.136529, -8.603555
SMA00001,Mahgreb Steel Casablanca plant,Morocco,exact,operating,1975,48,1000,,1000,,,,,,,,,semi-finished; finished rolled,electric,MA,33.592793, -7.475613
SNG00001,Delta Steel Company Warri plant,Nigeria,exact,operating,1982,41,1300,,1300,,1020,,1020,,,,>0,semi-finished; finished rolled,integrated (DRI),NG,5.480763, 5.769839
SZA00002,ArcelorMittal Vanderbijlpark Steel Works,South Africa,exact,operating,1947,76,4500,4500,,,4150,3200,950,,2666,1420,,semi-finished; finished rolled,integrated (BF and DRI),ZA,-26.657367, 27.822310
SZA00001,ArcelorMittal Newcastle Steel Works,South Africa,exact,operating,1971,52,1900,1900,,,2043.9999999999998,2044,,,2432,945,,semi-finished; finished rolled,integrated (BF),ZA,-27.705376, 30.014063
SZA00003,Acerinox Columbus Stainless steel plant,South Africa,exact,operating,1966,57,750,,750,,,,,,,,,semi-finished; finished rolled,electric,ZA,-25.796313, 29.497972
SUG00001,Tembo Steels Iganga plant,Uganda,approximate,operating,2000,23,450,,450,,,,,unknown,unknown,,unknown,unknown,electric,UG,0.611975, 33.457629
SUG00001-1,Tembo Steels Iganga plant DRI expansion,Uganda,approximate,operating,2022,1,,,,,1200,,1200,unknown,unknown,,unknown,unknown,ironmaking (DRI),UG,0.611975, 33.457629
SAU00001,BlueScope Port Kembla steel plant,Australia,exact,operating,1928,95,3200,3200,,,3000,3000,,,>0,>0,,semi-finished; finished rolled,integrated (BF),AU,-34.463834, 150.886191
SAU00004,GFG Liberty Sydney Steel Mill,Australia,exact,operating,1982,41,750,,750,,,,,,unknown,unknown,unknown,semi-finished; finished rolled,electric,AU,-33.76601, 150.849819
SAU00002,GFG Liberty Steel Australia Whyalla steel plant,Australia,exact,operating,1941,82,1200,1200,,,1200,1200,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),AU,-33.009381, 137.587836
SAU00003,GFG Liberty Laverton Steel Mill,Australia,exact,operating,1992,31,660,,660,,,,,,unknown,unknown,unknown,semi-finished; finished rolled,electric,AU,-37.831379, 144.788169
SBD00005,BSRM Steels Chattogram plant,Bangladesh,exact,operating,1996,27,1012,,1012,,,,,,,,,semi-finished; finished rolled,electric,BD,22.381060, 91.768620
SBD00001,GPH Steel Sitakunda plant,Bangladesh,exact,operating,2008,15,1008,,1008,,,,,,,,,semi-finished; finished rolled,electric,BD,22.536569, 91.700729
SBD00003,Abul Khair Steel Sitakunda plant,Bangladesh,exact,operating,2015,8,1400,,1400,,,,,,,,,semi-finished; finished rolled,electric,BD,22.472008, 91.734827
SBD00007,KSRM Sitakunda steel plant,Bangladesh,exact,operating,1984,39,800,,800,,,,,,,,,semi-finished; finished rolled,electric,BD,22.499834, 91.715778
SBD00004,BSRM Steels Mirsarai plant,Bangladesh,exact,operating,2008,15,1000,,1000,,,,,,,,,semi-finished; finished rolled,electric,BD,22.871760, 91.546568
SCN00004,"Anhui Guihang Special Steel Co., Ltd.",China,exact,operating,2010,13,2000,2000,,,1962,1962,,,>0,unknown,>0,finished rolled,integrated (BF),CN,30.531068, 117.251147
SCN00393,"Chizhou Guichi Guihang Metal Products Co., Ltd.",China,exact,operating,2000,23,1000,,1000,,,,,,,,,finished rolled,electric,CN,30.532786, 117.251660
SCN00394,"Huainan Hongtai Iron and Steel Co., Ltd.",China,exact,operating,2001,22,500,,500,,,,,,,,,finished rolled,electric,CN,32.619248, 116.905869
SCN00281,"Anhui Shoukuang Dachang Metal Material Co., Ltd.（phase 1)",China,exact,operating,2010,13,3000,3000,,,2942.24,2942.24,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,32.329171, 115.954963
SCN00360,"Anhui Jin'an Stainless Steel Casting Co., Ltd.",China,exact,operating,2022,1,500,,500,,,,,,,,,unknown,electric,CN,31.763956, 115.924372
SCN00002,"Ma'anshan Iron & Steel Co., Ltd.",China,exact,operating,1953,70,17600,16770,830,,14500,14500,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,31.698884, 118.468194
SCN00003,"Anhui Changjiang Steel Co., Ltd.",China,exact,operating,2003,20,3800,2700,1100,,3250,3250,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,31.502272, 118.465162
SCN00005,"Tongling Fuxin Iron and Steel Co., Ltd.",China,exact,operating,1970,53,1260,1260,,,1200,1200,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,30.907561, 117.772866
SCN00324,"Tongling Xuanli Special Steel Co., Ltd.",China,exact,operating,2009,14,1000,1000,,,1013,1013,,,1757,,,finished rolled,integrated (BF),CN,31.062807, 117.956015
SCN00001,"Wuhu Xinxing Ductile Iron Pipes Co., Ltd.",China,exact,operating,2003,20,1500,1500,>0,,1980,1980,,,6280,1200,unknown,finished rolled,integrated (BF),CN,31.229893, 118.150867
SCN00006,"Wuhu Fuxin Iron and Steel Co., Ltd.",China,exact,operating,2003,20,2000,2000,,,938.8399999999999,938.84,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,31.194505, 118.067833
SCN00371-1,"Anhui Langxi Hongtai Iron and Steel Co., Ltd. EAF expansion",China,exact,operating,2022,1,1000,,1000,,,,,,,,,,electric,CN,31.246635, 119.120443
SCN00386,"Anhui Jingxian Longxin Iron and Steel Co., Ltd.",China,exact,operating,2008,15,500,,500,,,,,,,,,finished rolled,electric,CN,30.709058, 118.436638
SCN00007,"Chongqing Iron & Steel Co., Ltd.",China,exact,operating,1997,26,8400,8400,,,7916.5,7916.5,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,29.790253, 107.040368
SCN00008,"Sichuan Desheng Group Vanadium and Titanium Co., Ltd.",China,exact,operating,1997,26,1300,1300,,,2200,2200,,,2800,unknown,unknown,finished rolled,integrated (BF),CN,29.39798, 103.542532
SCN00285,"Chongqing Zuhang Iron & Steel Co., Ltd",China,exact,operating,2008,15,1010,,1010,,unknown,,unknown,,,,,finished rolled,electric,CN,29.440056, 105.741929
SCN00378,"Chongqing Yonghang Steel Group Co., Ltd.",China,exact,operating,2003,20,700,,700,,,,,,,,,finished rolled,electric,CN,29.836163, 106.988138
SCN00012,"Fujian Yixin Steel Co., Ltd.",China,exact,operating,2006,17,1150,1150,,,1130,1130,unknown,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,26.491308, 119.63624
SCN00013,"Fujian Luoyuan Minguang Iron and Steel Co., Ltd.",China,exact,operating,2014,9,1800,1800,,,unknown,,unknown,,unknown,2230,unknown,semi-finished; finished rolled,integrated (BF),CN,26.483815, 119.671050
SCN00013-2,"Fujian Luoyuan Minguang Iron and Steel Co., Ltd. BF (1280m3) expansion",China,exact,operating,2022,1,,,,,1180,1180,,,1900,,unknown,,ironmaking (BF),CN,26.483815, 119.671050
SCN00013-3,"Fujian Luoyuan Minguang Iron and Steel Co., Ltd. BF (1250m3) expansion",China,exact,operating,2021,2,,,,,1150,1150,,,1900,,unknown,,ironmaking (BF),CN,26.483815, 119.671050
SCN00014,"Fujian Wuhang Stainless Steel Products Co., Ltd.",China,exact,operating,1993,30,800,,800,,,,,,,,,finished rolled,electric,CN,25.95923, 119.452018
SCN00304,"Baosteel Desheng Stainless Steel Co., Ltd.",China,exact,operating,2011,12,3410,3410,,,2520,840,,,2960,unknown,unknown,finished rolled,integrated (BF),CN,26.487470, 119.654461
SCN00313,"Fujian Dadonghai Industrial Group Co., Ltd.",China,exact,operating,2018,5,2200,2200,,,1750,1750,,,,,,finished rolled,integrated (BF),CN,25.737777, 119.592239
SCN00326,"Fuzhou Wuhang Steel Products Co., Ltd.",China,exact,operating,2021,2,2000,,2000,,,,,,,,,semi-finished; finished rolled,electric,CN,25.995101, 119.495725
SCN00015,"Fujian Tsingtuo Nickel Industry Co., Ltd.",China,exact,operating,2011,12,3000,unknown,3000,,1080,1080,,1000,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,26.768925, 119.765203
SCN00016,"Fujian Dingxin Industrial Co., Ltd.",China,exact,operating,2008,15,600,,600,,,,,300,,,,semi-finished; finished rolled,electric,CN,26.7695, 119.738519
SCN00282,"Fujian Dingsheng Iron and Steel Co., Ltd",China,exact,operating,2021,2,1725,1725,,,,,,,,,,finished rolled,electric,CN,27.224477, 120.328828
SCN00385,"Fujian Fuhua New Materials Group Co., Ltd.",China,exact,operating,1999,24,500,,500,,,,,,,,,semi-finished; finished rolled,electric,CN,26.961516, 119.654272
SCN00010,"Fujian Quanzhou Minguang Iron and Steel Co., Ltd.",China,exact,operating,2001,22,2550,2550,,,1560.8999999999999,1560.9,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,25.244396, 118.029905
SCN00009,"Sansteel Minguang Co., Ltd. Fujian",China,exact,operating,2001,22,6800,6800,,,5100,5100,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,26.261109, 117.614709
SCN00011,"Fujian Sanbao Steel Co., Ltd.",China,exact,operating,1999,24,4620,4620,,,2660,2660,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,24.635769, 117.603677
SCN00011-1,"Fujian Sanbao Steel Co., Ltd. EAF expansion",China,exact,operating,2023,0,788,,788,,,,,,unknown,unknown,unknown,,electric,CN,24.635769, 117.603677
SCN00017,"Fujian Fuxin Special Steel Co., Ltd.",China,exact,operating,2007,16,720,,720,,,,,,,,,semi-finished; finished rolled,electric,CN,24.472439, 117.94885
SCN00018,"Gansu Jiu Steel Group Hongxing Iron and Steel Co., Ltd.",China,exact,operating,1999,24,6500,>0,>0,,6000,6000,,,9500,unknown,unknown,finished rolled,integrated (BF),CN,39.812121, 98.295555
SCN00019,"Jiugang Group Yuzhong Iron & Steel Co., Ltd.",China,exact,operating,2003,20,4000,4000,,,3600,3600,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.033646, 104.035535
SCN00312,"Lanxin Steel Group Co., Ltd.",China,exact,operating,2001,22,1060,700,360,,710,710,,,,,,finished rolled,integrated (BF),CN,36.488866, 103.922000
SCN00025,"Angang Lianzhong Stainless Steel Co., Ltd.",China,exact,operating,2001,22,3219.9999999999995,,3220,,unknown,unknown,,,unknown,,unknown,semi-finished; finished rolled,electric,CN,23.126822, 113.505817
SCN00026,"Heyuan Derun Steel Co., Ltd.",China,exact,operating,1974,49,1200,,1200,,unknown,unknown,,,unknown,,unknown,semi-finished; finished rolled,electric,CN,23.693659, 114.743048
SCN00027,"Heping Yueshen Steel Industry Co., Ltd.",China,exact,operating,2011,12,1400,,1400,,unknown,unknown,unknown,,unknown,,unknown,finished rolled,electric,CN,24.49796, 114.93888
SCN00330,"Guangdong Jingye Iron and Steel Co., Ltd.",China,exact,operating,2020,3,1200,1200,,,1200,1200,unknown,unknown,>0,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,23.454666, 116.498483
SCN00020,"SGIS Songshan Co.,Ltd.",China,exact,operating,1997,26,8000,8000,,,6500,6500,unknown,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,24.708232, 113.635898
SCN00023,"Guangdong Guangqing Metal Technology Co., Ltd.",China,exact,operating,2010,13,2000,,2000,,unknown,,unknown,300,,,,finished rolled,electric,CN,21.697069, 111.848841
SCN00024,"Yangchun New Steel Co., Ltd.",China,exact,operating,2007,16,2400,2400,,,2200,2200,unknown,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,22.084904, 111.642187
SCN00329,"GuangDong Xinxing Ductile Iron Pipes Co., Ltd.",China,exact,operating,2015,8,,,,,700,unknown,unknown,unknown,unknown,unknown,unknown,finished rolled,ironmaking (unknown),CN,22.099140, 111.665479
SCN00403,"Guangdong Yuebei United Steel Co., Ltd.",China,exact,operating,2010,13,2000,>0,>0,,800,800,,unknown,unknown,unknown,unknown,finished rolled,integrated (BF),CN,24.262452, 113.728198
SCN00287,"Guangdong Jinshenglan Metallurgical Technology Co., Ltd.",China,exact,operating,2021,2,1200,,1200,,,,,,,,,unknown,electric,CN,22.888729, 112.263081
SCN00287-1,"Guangdong Jinshenglan Metallurgical Technology Co., Ltd. EAF expansion",China,exact,operating,2022,1,1200,,1200,,,,,,,,,,electric,CN,22.888729, 112.263081
SCN00021,"Baosteel Zhanjiang Iron & Steel Co., Ltd.",China,exact,operating,2011,12,12528,12528,,,12250,12250,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,21.056035, 110.486570
SCN00022,"Zhuhai Yueyufeng Iron & Steel Co., Ltd.",China,exact,operating,2002,21,3050,3050,,,2200,2200,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,21.96092, 113.198718
SCN00029,"Guangxi Beigang New Material Co., Ltd.",China,exact,operating,2009,14,3400,unknown,3400,,1190.7999999999997,1190.8,,3400,unknown,unknown,unknown,finished rolled,integrated (BF),CN,21.519924, 109.506427
SCN00030,"Guangxi Shenglong Metallurgical Co., Ltd.",China,exact,operating,2003,20,6000,6000,,,5000,5000,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,21.687637, 108.412344
SCN00269,"Guangxi Iron and Steel Group Co., Ltd.",China,exact,operating,2020,3,9200,9200,,,6080,6080,,,10730,3500,unknown,finished rolled,integrated (BF),CN,21.580723, 108.400896
SCN00031,"Guangxi Guigang Iron and Steel Group Co., Ltd.",China,exact,operating,2003,20,2600,2600,,,1660,1660,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,23.088182, 109.634638
SCN00331,"Guangxi Guigang Iron and Steel Group Guigang Guibao Special Steel Co., Ltd.",China,exact,operating,2018,5,1200,,1200,,,,,,,,,unknown,electric,CN,23.089502, 109.639380
SCN00335,"Guilin Pinggang Iron and Steel Co., Ltd.",China,exact,operating,1997,26,1200,,1200,,,,,,,,,finished rolled,electric,CN,24.673567, 110.789590
SCN00336,"Guangxi Guixin Iron and Steel Group Co., Ltd.",China,exact,operating,1993,30,2000,,2000,,,,,,,,,finished rolled,electric,CN,23.978962, 111.735523
SCN00363,"Hezhou Zhaoxin Hardware Products Co., Ltd.",China,exact,operating,2000,23,1000,,1000,,,,,,,,,unknown,electric,CN,23.978567, 111.735529
SCN00364,"Guangxi Guifeng Special Steel Co., Ltd.",China,exact,operating,2002,21,1725,,1725,,,,,,,,,unknown,electric,CN,23.987136, 111.914197
SCN00365,"Hezhou Xindu Sanyuan Casting Co., Ltd.",China,exact,operating,2016,7,780,,780,,,,,,,,,unknown,electric,CN,23.987007, 111.739775
SCN00366,"Guangxi Hezhou Kexinda Metal Products Co., Ltd.",China,exact,operating,2004,19,1150,,1150,,,,,,,,,finished rolled,electric,CN,23.979937, 111.745037
SCN00028,"Liuzhou Iron & Steel Co., Ltd.(Liuzhou Base）",China,exact,operating,2000,23,12500,12500,,,8840,8840,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,24.385304, 109.37963
SCN00362,"Guangxi Longzhou Zhongheng Wanhua Industrial Co., Ltd.",China,exact,operating,2015,8,,,,,550,550,unknown,unknown,unknown,unknown,unknown,unknown,ironmaking (BF),CN,22.326361, 106.946160
SCN00367,"Guangxi Deyuan Metallurgy Co., Ltd.",China,exact,operating,1990,33,1300,,1300,,,,,,,,,finished rolled,electric,CN,22.712996, 109.337250
SCN00333,"Wuzhou Yongda Iron and Steel Co., Ltd.",China,exact,operating,2009,14,1800,,1800,,,,,,,,,semi-finished; finished rolled,electric,CN,23.524465, 111.240200
SCN00334,"Wuzhou Yongda Special Steel Co., Ltd.",China,exact,operating,2011,12,1000,,1000,,,,,,,,,finished rolled,electric,CN,23.520307, 111.229981
SCN00337,"Guangxi Wuzhou Jinhai Stainless Steel Co., Ltd.",China,exact,operating,2010,13,600,,600,,650,650,,,,,,finished rolled,integrated (BF),CN,23.518229, 111.235509
SCN00342,"Guangxi Liugang Zhongjin Stainless Steel Co., Ltd.",China,exact,operating,2013,10,1200,1200,,,650,650,,100,,,,finished rolled,integrated (BF),CN,21.672610, 109.741866
SCN00342-1,"Guangxi Liugang Zhongjin Stainless Steel Co., Ltd. BF expansion",China,exact,operating,2021,2,,,,,1460,1460,,,,,,,ironmaking (BF),CN,21.672610, 109.741866
SCN00035,"Shougang Guiyang Special Steel Co., Ltd.",China,exact,operating,1958,65,500,,500,,,,,,,,,finished rolled,electric,CN,26.873592, 106.73215
SCN00032,"Shougang Shuicheng Iron and Steel (Group) Co., Ltd.",China,exact,operating,1966,57,3500,3500,,,3300,3300,unknown,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,26.595229, 104.877413
SCN00332,"Guizhou Hexing Metal Products Co., Ltd.",China,exact,operating,2012,11,520,,520,,,,,,,,,unknown,electric,CN,26.509525, 107.570458
SCN00328,"Guizhou Juxin Iron and Steel (Group) Co., Ltd.",China,exact,operating,1993,30,500,,500,,,,,,,,,semi-finished; finished rolled,electric,CN,25.150857, 105.041722
SCN00033,"Guizhou United Iron and Steel (Group) Co., Ltd.",China,exact,operating,2014,9,3334.9999999999995,,3335,,unknown,unknown,unknown,,unknown,,unknown,unknown,electric,CN,27.591691, 106.814024
SCN00034,"Guizhou Ganglian Industrial Group Co., Ltd.",China,exact,operating,2014,9,2069.9999999999995,,2070,,unknown,unknown,unknown,,unknown,,unknown,unknown,electric,CN,27.615147, 106.949926
SCN00327,"Zunyi Fuxin Special Steel Equipment Manufacturing Co., Ltd.",China,exact,operating,1993,30,1660,,1660,,,,,,,,,semi-finished; finished rolled,electric,CN,27.591697, 106.815453
SCN00372,"Zunyi Changling Special Steel Co., Ltd.",China,exact,operating,2004,19,1100,,1100,,,,,,,,,unknown,electric,CN,27.614947, 106.949752
SCN00354,"Cangzhou Lingang Sanling Metal Co., Ltd.",China,exact,operating,1995,28,1000,,1000,,,,,,,,,finished rolled,electric,CN,38.311738, 117.457779
SCN00042,"Chengde Iron and Steel Group Co., Ltd.",China,exact,operating,1954,69,8000,8000,,,6795,6795,unknown,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,40.947707, 117.719747
SCN00060,"Chengde Jianlong Special Steel Co., Ltd.",China,exact,operating,2001,22,3250,3250,,,1060.8999999999999,1060.9,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,40.515035, 117.596071
SCN00060-1,"Chengde Jianlong Special Steel Co., Ltd. BF expansion",China,exact,operating,2021,2,,,,,1130,1130,,,1907,unknown,unknown,,ironmaking (BF),CN,40.515035, 117.596071
SCN00060-2,"Chengde Jianlong Special Steel Co., Ltd. BOF expansion",China,exact,operating,2021,2,1150,1150,,,,,,,unknown,unknown,unknown,,oxygen,CN,40.515035, 117.596071
SCN00036,"Hebei Xinxing Ductile Iron Pipes Co., Ltd.",China,exact,operating,1993,30,2500,2500,,,1180,1180,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.621504, 114.128189
SCN00050,"Hebei Puyang Iron and Steel Co., Ltd.",China,exact,operating,1992,31,7000,7000,,,6000,6000,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.733675, 113.925994
SCN00051,"Wu'an Yuhua Iron and Steel Co., Ltd.",China,exact,operating,1988,35,6800,6800,,,2642.8399999999997,2642.84,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,36.731752, 114.098377
SCN00066,"Zhongpu (Handan) Iron and Steel Co., Ltd.",China,exact,operating,2003,20,3000,3000,,,3000,3000,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.721376, 113.910271
SCN00067-1,"Hebei Xinwu'an Iron and Steel Group Xinhui Metallurgy Co., Ltd. EAF expansion",China,exact,operating,2021,2,750,,750,,,,,,,,,finished rolled,electric,CN,36.664097, 114.115263
SCN00068,"Hebei Yongyang Special Steel Group Co., Ltd.",China,exact,operating,1993,30,1200,1200,,,1160,1160,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,36.786851, 114.376132
SCN00069,"Jinding Heavy Industry Co., Ltd.",China,exact,operating,1995,28,3000,3000,,,3000,3000,,,6000,unknown,unknown,finished rolled,integrated (BF),CN,36.718952, 114.111677
SCN00070,"Hebei Xin Wu'an Steel Group Wen'an Iron and Steel Co., Ltd.",China,exact,operating,2003,20,2200,2200,,,3400,3400,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.679431, 114.169024
SCN00074,"Hebei Xin Wu'an Steel Group Hongrong Iron and Steel Co., Ltd.",China,exact,operating,1984,39,2250,2250,,,1730,1730,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.640411, 113.981172
SCN00075,"Hebei Xinjin Iron and Steel Co., Ltd.",China,exact,operating,1993,30,3219.9999999999995,3220,,,2011.2399999999998,2011.24,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.715632, 114.208992
SCN00076,"Hebei Xinghua Iron and Steel Co., Ltd.",China,exact,operating,2002,21,1700,1700,,,1280,1280,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.744936, 114.111602
SCN00293,"Hebei Taihang Iron and Steel Group Co., Ltd.",China,exact,operating,2021,2,,,,,2680,2680,,,>0,unknown,unknown,finished rolled,integrated (BF),CN,36.613716, 114.082349
SCN00293-1,"Hebei Taihang Iron and Steel Group Co., Ltd. BOF expansion",China,exact,operating,2021,2,2800,2800,,,,,,,unknown,unknown,unknown,,oxygen,CN,36.613716, 114.082349
SCN00294,"Hangang Longshan Iron and Steel Co., Ltd.",China,exact,operating,2022,1,4700,4700,,,5650,5650,unknown,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,36.685881, 113.837073
SCN00318,"Hebei Longfengshan Casting Co., Ltd.",China,exact,operating,1993,30,,,,,2000,2000,,,,,,semi-finished,ironmaking (BF),CN,36.705105, 114.105387
SCN00341,"Jinan Iron & Steel Group Co., Ltd.(phase1)",China,exact,operating,2022,1,2700,2700,,,2320,2320,unknown,unknown,unknown,unknown,unknown,unknown,integrated (BF),CN,36.718952, 114.111677
SCN00347,"Hebei Huaxin Special Steel Co., Ltd.",China,exact,operating,2021,2,1350,1350,,,1140,1140,,,unknown,unknown,unknown,unknown,integrated (BF),CN,36.530480, 114.245262
SCN00062,"Cangzhou China Railway Equipment Manufacture Material Co., Ltd.",China,exact,operating,2006,17,7500,7500,,,7500,7500,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,38.289221, 117.814367
SCN00090,"Qinhuangdao Hongxing Iron and Steel Co., Ltd.",China,exact,operating,2002,21,4100,4100,,,3540,3540,,,7850,unknown,2000,finished rolled,integrated (BF),CN,39.700721, 118.871477
SCN00340,"Qinhuangdao Baigong Steel Co., Ltd.",China,exact,operating,2006,17,1500,1500,,,1820,1820,unknown,unknown,4200,unknown,unknown,finished rolled,integrated (BF),CN,39.748773, 118.819472
SCN00389,"Hebei Anfeng Iron & Steel Co., Ltd.",China,exact,operating,2002,21,7100,7100,,,5370,5370,,,>0,3900,2000,finished rolled,integrated (BF),CN,39.658490, 118.894804
SCN00057,"Jingye Iron and Steel Co., Ltd.",China,exact,operating,1996,27,12000,12000,,,12000,12000,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,38.391372, 114.139998
SCN00057-1,"Jingye Iron and Steel Co., Ltd. BF expansion B",China,exact,operating,2022,1,,,,,1330,1330,,,unknown,unknown,unknown,,ironmaking (BF),CN,38.391372, 114.139998
SCN00057-2,"Jingye Iron and Steel Co., Ltd. BF expansion C",China,exact,operating,2022,1,,,,,1330,1330,,,unknown,unknown,unknown,,ironmaking (BF),CN,38.391372, 114.139998
SCN00057-3,"Jingye Iron and Steel Co., Ltd. BOF expansion",China,exact,operating,2022,1,1600,1600,,,,,,,unknown,unknown,unknown,,oxygen,CN,38.391372, 114.139998
SCN00093,"Xinji Aosen Iron and Steel Group Co., Ltd.",China,exact,operating,2002,21,3600,3600,,,1330,1330,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),CN,37.752351, 115.184798
SCN00290,"Shijiazhuang Iron and Steel Co., Ltd. (Special Steel Branch )",China,exact,operating,2020,3,2000,,2000,,unknown,,unknown,,,,,finished rolled,electric,CN,38.075008, 114.033043
SCN00043,Shougang Jingtang United Iron & Steel Co Ltd,China,exact,operating,2005,18,13700,13700,,,13470,13470,,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,38.953664, 118.50339
SCN00044,"Shougang Qian'an Iron and Steel Co., Ltd.",China,exact,operating,2002,21,8000,8000,,,13470,13470,unknown,,unknown,unknown,unknown,finished rolled,integrated (BF),CN,39.976702, 118.558788
