TerminalID;ProjectID;ComboID;Country;Region;Wiki;TerminalName;UnitName;OtherEnglishNames;Owner;Parent;Status;StartYear1;StartYear2;StartYear3;StopYear;Import/Export;Capacity;CapacityUnits;CapacityInMtpa;Location;Prefecture/District;State/Province;Latitude;Longitude;Accuracy;Floating;FID;FIDYear;OtherLanguageName;PowerPlantsSupplied;OtherLanguageWikiPage
T0278;8;T027808;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;H;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Operating;1998;;;;Export;2.95;mtpa;2.95;Bontang;;East Kalimantan;0.10123;117.4701;exact;;;;;;
T0278;9;T027809;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;I;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Cancelled;2004;;;;Export;2.95;mtpa;2.95;Bontang;;East Kalimantan;0.10123;117.4701;exact;;;;;;
T0279;0;T027900;Indonesia;SE Asia;https://www.gem.wiki/Central_Java_FSRU_Terminal;Central Java FSRU;;;Pertamina [100.00%];Pertamina [100.00%];Shelved;;;;;Import;1.4;mtpa;1.4;Cilicap;;Central Java;-7.733333;109;approximate;yes;;;;;
T0280;0;T028000;Indonesia;SE Asia;https://www.gem.wiki/Jawa_Satu_FSRU;Jawa Satu FSRU;;Cilamaya FSRU, Jawa-1 FSRU;Jawa Satu Regas [300.00%];"Marubeni Corporation [unknown %]; Pertamina [unknown %]; Sojitz Corporation [unknown %]";Operating;2021;;;;Import;2.4;mtpa;2.4;Cilamaya;;West Java;-6.2443159;107.5832748;approximate;yes;;;;;
T0281;1;T028101;Indonesia;SE Asia;https://www.gem.wiki/Donggi_Senoro_LNG_Terminal;Donggi Senoro LNG Terminal;;;PT Donggi-Senoro LNG [400.00%];"Mitsubishi [45.00%]; Pertamina [29.00%]; KOGAS [15.00%]; MedcoEnergi [11.00%]";Operating;2015;;;;Export;2;mtpa;2;Luwuk;Banggai Regency;Central Sulawesi;-1.254369;122.58559;exact;;;;;;
T0283;0;T028300;Indonesia;SE Asia;https://www.gem.wiki/Lampung_FSRU_Terminal;Lampung FSRU;;Medan FLNG (first proposal);Leif Höegh & Co [100.00%];Leif Höegh & Co [100.00%];Operating;2014;;;;Import;2.5;mtpa;2.5;Labuhan Maringgai;;Lampung;-5.45;105.94;exact;yes;;;;;
T0284;0;T028400;Indonesia;SE Asia;https://www.gem.wiki/West_Java_FSRU;West Java FSRU;;Nusantara Regas Satu Terminal;"Pertamina [60.00%]; Perusahaan Gas Negara [40.00%]";"Pertamina [60.00%]; Perusahaan Gas Negara [40.00%]";Operating;2012;;;;Import;3;mtpa;3;Jakarta Bay;;West Java;-5.992909;106.82;exact;yes;;;;;
T0285;1;T028501;Indonesia;SE Asia;https://www.gem.wiki/Sengkang_LNG_Terminal;Sengkang LNG Terminal;T1;;Energy World [100.00%];Energy World [100.00%];Construction;2022;;;;Export;0.5;mtpa;0.5;South Sulawesi coastline;;Sulawesi;-4.5459732;120.4136867;approximate;;Pre-FID;;;;
T0285;2;T028502;Indonesia;SE Asia;https://www.gem.wiki/Sengkang_LNG_Terminal;Sengkang LNG Terminal;T2;;Energy World [100.00%];Energy World [100.00%];Construction;2022;;;;Export;0.5;mtpa;0.5;South Sulawesi coastline;;Sulawesi;-4.5459732;120.4136867;approximate;;Pre-FID;;;;
T0285;3;T028503;Indonesia;SE Asia;https://www.gem.wiki/Sengkang_LNG_Terminal;Sengkang LNG Terminal;T3;;Energy World [100.00%];Energy World [100.00%];Construction;2022;;;;Export;0.5;mtpa;0.5;South Sulawesi coastline;;Sulawesi;-4.5459732;120.4136867;approximate;;Pre-FID;;;;
T0285;4;T028504;Indonesia;SE Asia;https://www.gem.wiki/Sengkang_LNG_Terminal;Sengkang LNG Terminal;T4;;Energy World [100.00%];Energy World [100.00%];Construction;2022;;;;Export;0.5;mtpa;0.5;South Sulawesi coastline;;Sulawesi;-4.5459732;120.4136867;approximate;;Pre-FID;;;;
T0286;1;T028601;Indonesia;SE Asia;https://www.gem.wiki/Tangguh_LNG_Terminal;Tangguh LNG Terminal;T1;;Tangguh LNG [900.00%];"BP [40.20%]; China National Offshore Oil Corporation [13.90%]; Other [10.20%]; Mitsubishi [9.90%]; INPEX [7.80%]; ENEOS Holdings [7.50%]; Sumitomo Corporation [7.50%]; Sojitz Corporation [3.70%]; Mitsui Group [3.20%]";Operating;2009;;;;Export;3.8;mtpa;3.8;Teluk Bintuni;Bintuni Bay;West Papua ;-2.44314;133.139;exact;;;;;;
